product_id,receipt_text
42,PRAN ChIA BRYFAI
123,ML tOp DoG BBQ
124,SSG MILD ITAL
125,MRC NGL BCN WRPP
45,SCHR GF ENT CRKR
126,Walkers Gluter Free Pure Butter
126,McVitie's Gluten Free Original
126,McVitie's Gluten Free Chocolate
70,MADE Good
34,JAM ViT
32,JMSN FOLIC
32,viT B12
32,JAMIESON
31,JAMIESON MA
32,COENZYM
32,WEBBER
61,white Bread
1,ANNS RC Wht CH
1,RICE PAStA CHEDD
67,NATURE'S PATH PU
114,QuPa TC SALTED
127,TERRA SNT
128,SODE FRZ ALM BAR
59,'SCHR HOTDOG ROLL
124,JOHN SAU MPL BRK
124,CHED SMK SAUSAGE
124,ITLN SAUSAGE
124,BRATWURST SAUSAG
80,MULTIGRAIN LOAF
129,MASTRO TRIO CKD
129,CUP CHAR PEPERON
71,Pad Thai Noodles Kit
98,Salted Caramel
98,Cinnamon Caramel Bun
96,Muffins
98,Maple Butter Tart
124,Sauisage Meat
130,Dare Breton Glutenf
87,Cashews Dry
119,Flaxseed
64,Brst Strp EatWell
99,Power Cookie
128,Cheesecake Bars
132,Latort Cassava WRAPS
133,BAGEL THINS GLUTEN FREE
18,NAIR GF Oat COOKIES MINT CHO
68,BARB ORIGINAL CHEESE PUFFS
134,AMY BEAN AND RICE BURRITO GF
21,FODY FODMAP SALSA
22,FODY MARINARA SAUCE
129,DUBR ORG. COOKED HAM
91,SCHAR GF Hot DOG BUNS
75,GLUT PRETZEL TWiSts FAMILY
132,LAtoRT Cassava WRAPS
65,ODO HAMBURGER BUNS
135,Sausade Chub
39,KIND OATS
23,GluTino CHOC VAN
18,GF CHOC HONYGRM
80,MULTGRAIn LOAF
98,AIR CHOCO PISTACHE
109,RIZ ET POULET
32,Vitamin
42,RAW CASHEHS
4,BORM RoLld OAts
39,NAFA GPL CNT CHH
72,NAFA ORG CRL VAN
72,KOALA CRISP
39,NATURES PaTH PU
39,KIND PNUTBTR WG
124,ORA TWURST SAUSAG
124,Honey GARLIC
81,Brioche Hamburger
124,Mpl Sausage
124,Brkfst Saus
124,Sausage Honey Garlic
64,Ck Brst Strp EatWel1 6+
41,LNDBERG BSMT RCE
39,kind OATS & HNEY
9,MGDG HALLWN CH
124,JOHN SAUS BRKFST
129,MSTR GRND PIAT
109,GF LG Primavera
109,GF Parm white sauce
62,Gluten-free LARGE
136,Cake Tin
99,S'mores Bar
129,Charcuterie
99,LRBR CHOCO BRWNE
9,DRK CHOC CHRRY
9,TGPP GINGERCHEWS
9,TBRMA DRK CHOC
87,PRAN CASHEW MRST
128,BLISS SALTED CARAMEL
22,FODy tomato SAUCE
129,DUBR ORG. CoOkEd HAm
129,DUBR ORG. Cooked HAm
68,BARD ORIGINAL CHEESE PUFfS
42,Nuts Mixod Cranberry
87,Almond Raw
94,Loaf White
39,NATP PURE OATS
21,NEAL'S ORGANIC SALSA
44,TINK BROWN RICE FETTUCINI
129,VITALE NATURAL SALAME MILANO
9,NtV GoRGANic HAZELNUT SPRERD
129,DUBR ORG. SMOKED HAM
82,NATP BUCKWHEAT WILDBRRY WAFFL
128,BLISS MADAGASCAN VANILLA DESR
114,QUE ORG. TORTILLAS
91,SCHR HOTDog ROLL
9,THEC DARK 70%
36,BUILDERS PB BAR
123,Top Dogs Orgnl
64,Ck Brst Strp EatWel
65,Brioche Hamburger Bu
94,Purest White Bread
65,Brioche Hanbirrgur Bu
59,Brioche Hot Dog Buns
64,Ck Brst Strp Eatwel
129,Charcuterio Trio
124,Sausio Mld Ital
124,Sausane Moat Mild It
87,Hixed Nuts Doluxo Rw
35,Chicago Mix
35,Chips Nacho Cheese
17,Chocolate Chips
9,Fruit nut Fam
9,Chocolate Chunks Mga
2,Good Thln Rlce Sesam
23,Ckis Chc Van GltmFi
2,BlueDiam Nut
124,JOFN SAU MPL BPK
65,Brioche Hanburger Bu
36,KINDBAR DRK C
98,Cinnamon Maple Bun
99,Caramel Chocolate Chip
98,Rice Crispey - Single
39,NATURES PATH CI
2,BLUE NUT THINS
45,CRISPBREAD
129,DUBR ORG.
58,NAPA ORG CRL MPL
68,BARB ORIGINAL CHEESE PUFFS 15
17,ENJOY SEMI-SWEET MEGA CHOC CH
91,SCHAR GF HOT DOG BUNS
98,Scones
139,KS DLUX PIZZ
139,CH PIZZA GF
140,WELCH'S 60CT
35,CRETORS MIX
35,VEGGIE STRAW
53,NOW PSYLLIUM HUSKS WHOLE
2,SIGDAL GF CRISPBREAD
57,ANN RICE PASTA & CHEDDAR
132,LATORT CASSAVA WRAPS
41,LUND BASMATI WHITE ORG
9,SMSWT COLA GUMMIES
78,LUCKY THAI SPRING ROLLS GF
78,LUCKY SPRING ROLLS GF
141,NOBLE. TEMPEH 3-GRAIN
112,Quiche
98,Cinnamon
128,BREY DC NAT VANI
87,RAW CASHEWS
66,UDIS ENG MFFN
183,Lundberg California White Basmati Rice
165,Glutino Gluten Free Chocolate Vanilla Creme Cookies
143,Homegrown Gluten-Free Rice Pasta White Cheddar
143,Homegrown Gluten-Free Rice Pasta
178,KIND Bars Dark Chocolate Chunk Granola Bars
157,Enjoy Life Chocolaty Bars Crunch
151,c'est BONBON
192,Webber Naturals Magnesium Citrate 150mg
238,HemeBoost Heme Iron
39,One Degree Cinnamon Flax Granola
193,Wholesome Sweeteners Fair Trade Raw Cane Sugar - 680
239,Bioitalia Multigrain Gluten Free Penne Pasta
167,GoGo Quinoa Rice
186,Organic Brown Rice Pasta Fettucine
240,GoGo Quinoa Spaghetti
44,Felicetti Organic Rice
239,Bioitalia
168,GoGo Quinoa Organic Rice
183,Lundberg Organic California White Jasmine Rice
183,Lundberg Organic Red Rice
180,KIND Breakfast Bars Peanut Butter
174,Jamieson Vitamin B2
13,KIND Dipped Clusters Dark Chocolate Almond Butter
39,KIND Oats
181,KIND Whole Grain Peanut Butter Granola
181,KIND Vanilla Oat Blueberry Granola with Flax Seeds
180,Breakfast Bars Dark Chocolate Cocoa
39,KIND Cinnamon Oat Granol
229,PRANA Organic Cashews
63,One Degree Brown Rice Cacao Crisps Cereal
168,GoGo Quinoa Organic Cocoa
187,Schar Gluten Free Entertainment Crackers
59,Schar Gluten Free Ciabatta
215,Schar Gluten Free Hamburger Buns
59,Schar Gluten
143,Annie's Homegrown Gluten-Free Rice Pasta & Cheddar
143,Annie's Homegrown Gluten-Free Rice Pasta White Cheddar Macaroni & Cheese
143,Gluten-Free Rice Pasta
166,Organic Vegetable Bouillon Cubes
145,Red Mill Cornstarch
182,Lotus Foods Organic Millet
182,Foods Organic Jade Pearl Rice Ramen
37,KIND Thins
37,KIND Bars Maple Glazed Pecan
37,KIND Peanut Butter
181,KIND Cinnamon Oat Granola with Flax Seeds
181,KIND Vanilla Oat Blueberry Granola with
148,Red Mill Gluten Free Steel Cut Oats
146,Red Mill Gluten Free Old
14,Free Bar Peanut Butter
146,Red Mill Gluten Free Extra Thick Rolled Oats
14,Theobroma 72% Dark Chocolate Stick
89,Chocolate Chunks Semi-Sweet
158,Enjoy Life Dark Chocolate Morsels
156,Enjoy Life Chocolaty Bars Chocolateriz
159,Enjoy Life Semi-Sweet Mini Chocolate Chips
9,Enjoy Life Minis Variety Pack
9,BONBON Sour Cocktail Mix
9,C'est BONBON Vegan Bears
103,Ecoideas Organic Vegan Chocolate Spread
241,GoGo Quinoa Red and White Quinoa
172,Inari Organic Whole Black Chia Seed Large Bag
171,Organic White Basmati Rice
183,Lundberg California White Jasmine Rice
190,Watkins Organic Paprika
44,Rizopia 100% Brown Rice Pasta Spaghetti
186,Rizopia 100% Brown Rice Pasta Fettuccine
186,Rizopia Organic Brown Rice Pasta Fusilli
79,Gf Charge
81,GLTFREE HAM BUNS
